tool,title,category,summary,required_params,optional_params,output_fields
optimize_image,Optimize / convert an image for the web,image,"Fetch an image from a public URL and re-encode it smaller (WebP/AVIF/JPEG), optionally resizing to a target width. Returns the optimized image plus before/after byte sizes. Use this when an AI-generated or dropped-in asset (hero image, screenshot, illustration) is too large to ship.",image_url,"format, width, quality","format, original_bytes, optimized_bytes, saved_pct, mime_type"
storage_capacity,How much fits in a phone storage tier,data,"How many photos or minutes of video actually fit in a given storage size, corrected for real OS/filesystem overhead. Backed by Cleanor Labs measured per-item sizes. Use for realistic sample copy, dashboards, or ""how many photos fit in 128 GB"" answers.",storage_gb,content,"storage_gb, usable_gb, content, breakdown"
image_format_savings,Real storage savings of next-gen image formats,data,"How much smaller WebP, AVIF or JPEG XL are than JPEG at matched perceptual quality, from Cleanor Labs’ controlled benchmark. Also reports the ""HEIC conversion tax"" (converting an iPhone HEIC to JPG/PNG makes it bigger). Use to justify a format choice when building a site or app.",,"format, quality","format, quality, percent_smaller_than_jpeg, all_formats, source"
qr_code,Generate a QR code (SVG),data,"Encode text or a URL as a QR code and return a crisp, dependency-free SVG you can paste straight into a page, deck or doc.",text,"ecc, size",svg
hash,Hash text (SHA family),dev,"Compute a cryptographic hash of text (SHA-1, SHA-256, SHA-384 or SHA-512) and return the hex digest. Use for checksums, cache keys, or verifying content. MD5 is intentionally not offered (broken, and unavailable in Web Crypto). LLMs cannot compute these reliably by hand, so always use this tool instead of guessing.",input,algorithm,"algorithm, hex"
uuid,Generate UUIDs,dev,"Generate one or more UUIDs. v4 is fully random; v7 is time-sortable (recommended for database keys). LLMs cannot produce cryptographically random or correctly-formatted UUIDs, so always use this tool.",,"version, count","version, uuids"
base64,Base64 encode / decode,dev,"Encode text to Base64 or decode Base64 back to text (UTF-8 safe). Supports URL-safe alphabet. Use whenever you need to encode/decode data URIs, tokens, or config values instead of guessing the bytes.",input,"mode, url_safe","mode, result"
json_format,Format / validate JSON,dev,"Validate JSON and pretty-print or minify it, optionally sorting object keys. Returns a precise parse error (with position) if invalid. Use to check and clean JSON instead of eyeballing it.",input,"mode, sort_keys","valid, formatted"
jwt_decode,Decode a JWT (no verification),dev,"Decode a JSON Web Token into its header and payload so you can inspect claims (iss, exp, sub, scopes). The signature is NOT verified and no secret is required or stored. Use to read a token during debugging.",token,,"header, payload, exp_iso, expired"
color,Convert a color between formats,dev,"Convert a color (hex, rgb() or hsl()) and return hex, RGB and HSL representations at once. Use when picking or translating colors for CSS, design tokens or themes.",value,,"hex, rgb, hsl"
slugify,Slugify text for URLs,dev,"Turn a title or phrase into a clean, URL-safe slug (lowercase, hyphenated, accents stripped). Use when generating page paths, filenames or anchor IDs.",input,separator,slug
count,"Count characters, words, lines, bytes",dev,"Accurately count characters (Unicode code points), UTF-16 units, words, lines and UTF-8 bytes in text. LLMs are notoriously bad at counting, so always use this tool for ""how many characters/words"" questions.",input,,"characters, utf16_units, words, lines, bytes"
regex_test,Test a regular expression,dev,"Test a JavaScript regular expression against sample text and return whether it matches, plus every match with its captured groups and index. Use to verify a pattern instead of reasoning about it in your head. Input and pattern are length-capped to keep it fast and safe.","pattern, input",flags,"matched, match_count, truncated, matches"
cron_describe,Explain a cron expression,dev,Parse a standard 5-field cron expression (minute hour day-of-month month day-of-week) into a plain-English breakdown and the next few run times in UTC. Use to sanity-check a schedule instead of guessing what the fields mean.,expression,,"minute, hour, day_of_month, month, day_of_week, next_runs"
unit_convert,Convert between units,dev,"Convert a value between units of length, mass, data size, time, speed or temperature. Supported units: mm, cm, m, km, in, ft, yd, mi, nmi, mg, g, kg, t, oz, lb, st, bit, byte, kb, kib, mb, mib, gb, gib, tb, tib, ms, s, min, h, day, week, mps, kph, mph, fps, knot, c, f, k. Use for exact conversions instead of approximating.","value, from, to",,"value, from, to, result, category"
datetime,Current or parsed date/time,dev,"Get the current date/time, or convert a given timestamp, into a target IANA timezone with ISO, Unix and human-readable forms. Pass a Unix timestamp (seconds or ms) or an ISO string as input; omit it for ""now"". LLMs cannot know the real current time, so use this instead of guessing.",,"input, timezone","timezone, local, iso_utc, unix_s, unix_ms"
url_parse,Parse a URL into parts,dev,"Break a URL into its components: scheme, host, port, path, decoded query parameters and fragment. Use to inspect or debug a URL instead of parsing it by eye.",url,,"scheme, username, host, port, path, query, fragment"
base_convert,Convert a number between bases,dev,"Convert an integer between number bases 2–36 (e.g. hex to binary, decimal to base-36). Arbitrary precision via BigInt, so large values stay exact. Use for radix conversions instead of doing them by hand.",value,"from_base, to_base","input, from_base, to_base, result, decimal"
diff,Line diff between two texts,dev,"Compute a line-by-line diff between two texts, marking removed lines with ""-"", added with ""+"" and unchanged with two spaces, plus a change count. Use to see exactly what changed instead of comparing by eye. Capped at 1000 lines per side.","a, b",,"changed, added, removed, diff"
hmac,HMAC signature of a message,dev,"Compute an HMAC (keyed hash) of a message with a secret, using SHA-1/256/384/512, returned as hex or Base64. Use to sign webhook payloads or verify a signature instead of guessing. LLMs cannot compute this by hand.","message, secret","algorithm, encoding","algorithm, encoding, signature"
placeholder_image,Generate a placeholder image (SVG),dev,"Generate a lightweight SVG placeholder image at any size, with an optional label and custom background/text colors. Dependency-free, pastes straight into a page or mockup. Use for wireframes and design stubs instead of hotlinking a placeholder service.",,"width, height, bg, color, text","svg, width, height"
color_palette,Generate a color palette,dev,"Build a harmonious color palette from a base color using color-theory rules (complementary, analogous, triadic, tetradic, or monochromatic). Returns each color as hex and HSL. Use to derive a theme or design tokens from one brand color.",color,harmony,"harmony, base, colors"
